#separator:tab
#html:true
#columns:Sentence	Label	Sense	Pattern	Trajector	Landmark	FrameOfRef	ImageSchema	MainUse	QuickCue	Contrast	WhenNotToUse	Tags
The keys are <b>in</b> the drawer.	in (CONTAINER)	spatial	be + in + bounded enclosure	the keys	the drawer	intrinsic	container	Locating an object inside a fully bounded region	walls / sides on multiple axes	on the drawer (resting on top, not inside)	when the landmark is a flat, unbounded surface	module:01 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:container generalisable:yes picture-cue:yes picture-query:"open drawer keys"
She lives <b>in</b> Tokyo.	in (AREA)	spatial	be + in + geographic area	she	Tokyo	absolute	container	Locating a person within a 2-D administrative region	city / country / continent / region	at Tokyo (would name a single point, not the area)	for buildings or institutions when role-focus matters (use 'at')	module:01 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:container generalisable:yes picture-cue:yes picture-query:"tokyo skyline city"
The fish are swimming <b>in</b> the water.	in (MEDIUM)	spatial	be / V + in + medium	the fish	the water	intrinsic	container	Locating a figure immersed in a medium	surrounded on all sides by the substance	on the water (would mean floating on the surface)	for surface contact only — use 'on'	module:01 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:container generalisable:yes picture-cue:yes picture-query:"goldfish swimming aquarium"
There's a coin <b>in</b> my pocket.	in (CONTAINER)	spatial	there be + N + in + small enclosure	a coin	my pocket	intrinsic	container	Locating a small object enclosed inside a wearable container	enclosed by fabric on multiple sides	on my pocket (would be on the outside surface)	for items clipped on the outside	module:01 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:container generalisable:yes picture-cue:yes picture-query:"coin in jeans pocket"
The plane is flying <b>in</b> the clouds.	in (MEDIUM)	spatial	V + in + medium noun	the plane	the clouds	intrinsic	container	Locating a moving figure inside a diffuse medium	surrounded by the substance	above / below the clouds (vertical position, not immersion)	when the figure is merely near, not inside	module:01 sense:spatial type:recognition frequency:mid register:neutral cefr:a2 image-schema:container generalisable:yes picture-cue:yes picture-query:"airplane flying through clouds"
The painting is <b>in</b> the gallery.	in (AREA)	spatial	be + in + bounded venue	the painting	the gallery	intrinsic	container	Locating an object inside an enclosed institution	walls / roof define the space	at the gallery (would emphasise the venue as a point)	when the focus is on the institution as a meeting point	module:01 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:container generalisable:yes picture-cue:yes picture-query:"art gallery interior painting wall"
The book is <b>on</b> the table.	on (SUPPORT)	spatial	be + on + horizontal surface	the book	the table	intrinsic	support	Locating an object in surface contact via gravity	resting on top of a horizontal surface	in the table (would mean inside the wood)	when the landmark fully encloses the figure	module:01 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:support generalisable:yes picture-cue:yes picture-query:"open book wooden table"
The painting hangs <b>on</b> the wall.	on (SUPPORT-VERTICAL)	spatial	V + on + vertical surface	the painting	the wall	intrinsic	support	Locating an object attached to a vertical surface	contact maintained against gravity	in the wall (would mean embedded inside it)	for objects merely leaning against, not attached	module:01 sense:spatial type:recognition frequency:high register:neutral cefr:a2 image-schema:support generalisable:yes picture-cue:yes picture-query:"painting hanging gallery wall"
The fly is sitting <b>on</b> the ceiling.	on (SUPPORT-INVERTED)	spatial	V + on + inverted surface	the fly	the ceiling	intrinsic	support	Locating a figure attached to an overhead surface	contact maintained against gravity from below	under the ceiling (would mean below it, not touching it)	when there is no surface contact	module:01 sense:spatial type:recognition frequency:mid register:neutral cefr:a2 image-schema:support generalisable:yes picture-cue:yes picture-query:"fly insect ceiling"
The town is <b>on</b> the river.	on (LINE-ROUTE)	spatial	be + on + linear landmark	the town	the river	intrinsic	support	Locating a figure adjacent to and along a linear feature	along the path of the line	in the river (would mean inside the water)	for points unrelated to the linear feature	module:01 sense:spatial type:recognition frequency:mid register:neutral cefr:b1 image-schema:support generalisable:partial picture-cue:yes picture-query:"town riverside aerial"
