#separator:tab
#html:true
#columns:Text	Hint	Tags
The dog is sleeping {{c1::in}} its basket.	bounded enclosure	module:01 sense:spatial type:cloze frequency:high register:neutral cefr:a1 image-schema:container generalisable:yes
The plates are {{c1::on}} the top shelf.	flat surface, gravity	module:01 sense:spatial type:cloze frequency:high register:neutral cefr:a1 image-schema:support generalisable:yes
We arrived {{c1::at}} the station ten minutes late.	point / venue treated as a point	module:01 sense:spatial type:cloze frequency:high register:neutral cefr:a1 image-schema:point generalisable:yes
Their grandparents live {{c1::in}} a small village in the south.	2-D area / bounded region	module:01 sense:spatial type:cloze frequency:high register:neutral cefr:a1 image-schema:container generalisable:yes
There's a bird {{c1::on}} the roof of the car.	surface contact against gravity	module:01 sense:spatial type:cloze frequency:high register:neutral cefr:a2 image-schema:support generalisable:yes
She's standing {{c1::at}} the front of the queue.	specific position designated as a point	module:01 sense:spatial type:cloze frequency:high register:neutral cefr:a2 image-schema:point generalisable:yes
There's nothing interesting {{c1::on}} TV tonight.	medium understood as a surface (printed schedule / displayed image)	module:01 sense:spatial type:cloze frequency:high register:informal cefr:a2 image-schema:support generalisable:partial
I left my umbrella {{c1::on}} the bus this morning.	walk-in vehicle (bus, train, plane)	module:01 sense:spatial type:cloze frequency:high register:informal cefr:a1 image-schema:support generalisable:yes
The keys are {{c1::in}} the inside pocket of my jacket.	enclosure within a wearable container	module:01 sense:spatial type:cloze frequency:high register:neutral cefr:a1 image-schema:container generalisable:yes
She's been {{c1::at}} university for three years now.	institutional role at a single venue	module:01 sense:spatial type:cloze frequency:high register:neutral cefr:a2 image-schema:point generalisable:yes
The school holidays start {{c1::on}} July 5th this year.	specific date with day number	module:03 sense:temporal type:cloze frequency:high register:neutral cefr:a1 image-schema:none generalisable:yes
The school holidays start {{c1::in}} July this year.	whole month, no day number	module:03 sense:temporal type:cloze frequency:high register:neutral cefr:a1 image-schema:none generalisable:yes
The conference begins {{c1::at}} 9 a.m. sharp.	clock time = single point	module:03 sense:temporal type:cloze frequency:high register:neutral cefr:a1 image-schema:none generalisable:yes
She always reads {{c1::in}} the evening before bed.	part of the day with article	module:03 sense:temporal type:cloze frequency:high register:neutral cefr:a1 image-schema:none generalisable:yes
The owl hunts {{c1::at}} night.	'at night' fixed phrase, no article	module:03 sense:temporal type:cloze frequency:high register:neutral cefr:a2 image-schema:none generalisable:yes
The deadline for applications is {{c1::by}} the end of the week.	deadline / no later than	module:03 sense:temporal type:cloze frequency:high register:formal cefr:b1 image-schema:none generalisable:yes
The library is open {{c1::until}} 10 p.m. on weekdays.	continuous activity up to a stop point	module:03 sense:temporal type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:yes
She has been waiting {{c1::for}} more than two hours.	duration of an unfinished period	module:03 sense:temporal type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:yes
She has been waiting {{c1::since}} eight o'clock.	starting point of an unfinished period	module:03 sense:temporal type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:yes
He fell asleep {{c1::during}} the long flight.	preposition + named period (no clause follows)	module:03 sense:temporal type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:yes
Please send your reply {{c1::within}} the next 24 hours.	deadline + permitted span	module:03 sense:temporal type:cloze frequency:high register:formal cefr:b2 image-schema:none generalisable:partial
We'll arrive {{c1::in}} about ten minutes — see you soon.	future moment measured from now	module:03 sense:temporal type:cloze frequency:high register:informal cefr:a2 image-schema:none generalisable:yes
The picture on the wall hangs {{c1::above}} the sofa in the living room.	Vertical positioning without motion	module:02 sense:spatial type:cloze frequency:high register:neutral cefr:a1 image-schema:over generalisable:yes
The keys are hidden {{c1::inside}} the desk drawer where nobody looks.	Full containment within an enclosure	module:02 sense:spatial type:cloze frequency:high register:neutral cefr:a1 image-schema:container generalisable:yes
She stood {{c1::in front of}} the mirror to brush her hair.	Facing position on the forward side	module:02 sense:spatial type:cloze frequency:high register:neutral cefr:a1 image-schema:point generalisable:yes
The dog hid {{c1::behind}} the door when the bell rang.	Positioned on the rear, non-visible side	module:02 sense:spatial type:cloze frequency:high register:neutral cefr:a1 image-schema:point generalisable:yes
The village lies {{c1::between}} the mountains and the sea.	Located in the intermediate zone of two features	module:02 sense:spatial type:cloze frequency:high register:neutral cefr:a1 image-schema:between generalisable:yes
The cat crept {{c1::under}} the table to rest.	Beneath an object with overhead coverage	module:02 sense:spatial type:cloze frequency:high register:neutral cefr:a1 image-schema:under generalisable:yes
The flowers were planted {{c1::among}} the vegetables in the garden.	Distributed within a group or cluster	module:02 sense:spatial type:cloze frequency:high register:neutral cefr:a1 image-schema:cluster generalisable:yes
The ladder leaned {{c1::against}} the wall for support.	Pressed into contact with a surface	module:02 sense:spatial type:cloze frequency:high register:neutral cefr:a1 image-schema:support generalisable:yes
The café is {{c1::near}} the train station, about a five-minute walk away.	In the general vicinity but not immediately adjacent	module:02 sense:spatial type:cloze frequency:high register:neutral cefr:a1 image-schema:point generalisable:yes
The house sits {{c1::beside}} the old oak tree on the property.	Positioned alongside in lateral arrangement	module:02 sense:spatial type:cloze frequency:high register:neutral cefr:a1 image-schema:point generalisable:yes
Children played {{c1::around}} the playground equipment without stopping.	Distributed in various positions encircling a focal point	module:02 sense:spatial type:cloze frequency:high register:neutral cefr:a1 image-schema:cluster generalisable:yes
