filename	line_number	severity	issue_type	current_text	suggested_fix	rationale
prepositions_contrast.txt	7	INFO	vacuous-cue	Cities, countries, continents → 'in'. Single buildings or points → 'at'.	Add narrative explanation, not just notation	Tip is symbolic notation rather than actionable advice
prepositions_contrast.txt	11	INFO	vacuous-cue	Interior corner of a room → 'in'. Street corner outside → 'on' or 'at'.	Add narrative explanation, not just notation	Tip is symbolic notation rather than actionable advice
prepositions_contrast.txt	13	INFO	vacuous-cue	Walk-in vehicles (planes, trains, buses, ships) → 'on'. Sit-in vehicles (cars, t	Add narrative explanation, not just notation	Tip is symbolic notation rather than actionable advice
prepositions_contrast.txt	14	INFO	vacuous-cue	Cars and taxis are sit-in vehicles → 'in'. Buses and planes are walk-in → 'on'.	Add narrative explanation, not just notation	Tip is symbolic notation rather than actionable advice
prepositions_contrast.txt	15	INFO	vacuous-cue	Page numbers → 'on'. Chapters or sections → 'in'.	Add narrative explanation, not just notation	Tip is symbolic notation rather than actionable advice
prepositions_contrast.txt	16	INFO	vacuous-cue	Pages → 'on' (surface). Chapters / books / sections → 'in' (container).	Add narrative explanation, not just notation	Tip is symbolic notation rather than actionable advice
prepositions_contrast.txt	18	INFO	vacuous-cue	Months / years / seasons / decades → 'in'. Specific dates / days → 'on'. Clock t	Add narrative explanation, not just notation	Tip is symbolic notation rather than actionable advice
prepositions_contrast.txt	24	INFO	vacuous-cue	Continuous action with an endpoint → 'until'. Single deadline by which something	Add narrative explanation, not just notation	Tip is symbolic notation rather than actionable advice
prepositions_contrast.txt	31	INFO	vacuous-cue	If a subject + verb follows → 'while'. If a noun phrase follows → 'during'.	Add narrative explanation, not just notation	Tip is symbolic notation rather than actionable advice
prepositions_contrast.txt	33	INFO	vacuous-cue	If a deadline 'no later than' is meant → 'within'. If a single future moment → '	Add narrative explanation, not just notation	Tip is symbolic notation rather than actionable advice
prepositions_contrast.txt	216	INFO	templated	She succeeded ___ the many obstacles.	Vary the sentence structure	Same sentence skeleton as lines [168]
prepositions_contrast.txt	222	WARN	ai-tell	Regarding is shorter and more modern; with regard to is longer and more formal.	Use direct, concrete language	'with regard to' is filler
prepositions_contrast.txt	233	WARN	ai-tell	Including lists items directly; with regard to is more formal and suitable for e	Use direct, concrete language	'with regard to' is filler
prepositions_contrast.txt	320	INFO	templated	She succeeded ___ of her natural talent.	Vary the sentence structure	Same sentence skeleton as lines [168, 216]
prepositions_production.txt	32	INFO	near-duplicate	support + point + under + between	Vary the schema sequence	Same schema pattern as line 26
prepositions_production.txt	40	INFO	near-duplicate	cluster + point + between	Vary the schema sequence	Same schema pattern as line 35
prepositions_production.txt	50	INFO	near-duplicate	path + container + support	Vary the schema sequence	Same schema pattern as line 44
prepositions_production.txt	57	INFO	near-duplicate	path + container + support	Vary the schema sequence	Same schema pattern as line 44
prepositions_production.txt	63	INFO	near-duplicate	path + support + container	Vary the schema sequence	Same schema pattern as line 61
prepositions_production.txt	144	WARN	ai-tell	Accepts: with regard to (formal); regarding (neutral)	Use direct, natural language	'with regard to' is AI-typical filler in Sample field
prepositions_recognition.txt	329	WARN	ai-tell	Very formal marking of a domain; similar to 'with regard to'	Replace filler with direct language	'with regard to' is AI-typical filler
prepositions_recognition.txt	337	WARN	ai-tell	Neutral marking of topic; less formal than 'with regard to'	Replace filler with direct language	'with regard to' is AI-typical filler
