#separator:tab
#html:true
#columns:Sentence	OptionA	OptionB	Answer	Why	Tip	Tags
The milk is ___ the fridge.	in	on	in	A fridge is a fully bounded enclosure (CONTAINER schema). Milk is surrounded by walls on all sides — that's prototypical 'in'.	If the landmark has walls on multiple sides and you can shut a door, it's almost always 'in'.	module:01 sense:spatial type:contrast frequency:high register:neutral cefr:a1 image-schema:container generalisable:yes contrast:in-vs-on
The cup is ___ the table.	in	on	on	A table is a flat horizontal surface — gravity holds the cup against it (SUPPORT schema). 'In the table' would imply embedded inside the wood.	Flat surface + gravity = on. Bounded enclosure = in.	module:01 sense:spatial type:contrast frequency:high register:neutral cefr:a1 image-schema:support generalisable:yes contrast:in-vs-on
There are some apples ___ the bowl.	in	on	in	A bowl curves upward and bounds the apples from multiple sides — prototypical CONTAINER schema, even though it's open at the top.	Walls curving up around the figure = in (a bowl, a cup, a basket).	module:01 sense:spatial type:contrast frequency:high register:neutral cefr:a1 image-schema:container generalisable:yes contrast:in-vs-on
The map is ___ the wall.	in	on	on	The map makes contact with the wall surface (SUPPORT-VERTICAL schema). 'In the wall' would mean embedded inside the plaster.	A vertical surface still counts as a surface — use 'on' for posters, paintings, signs.	module:01 sense:spatial type:contrast frequency:high register:neutral cefr:a2 image-schema:support generalisable:yes contrast:in-vs-on
Sarah lives ___ Madrid.	at	in	in	A city is a 2-D bounded region (AREA / CONTAINER schema). 'At Madrid' would treat the city as a single point — wrong scale.	Cities, countries, continents → 'in'. Single buildings or points → 'at'.	module:01 sense:spatial type:contrast frequency:high register:neutral cefr:a1 image-schema:container generalisable:yes contrast:in-vs-at
Sarah works ___ the National Library.	at	in	at	The library is being treated as a single workplace point — the focus is her role / activity, not the interior. 'In the National Library' is also possible but emphasises being physically inside the building.	Use 'at' when the focus is the institutional role; use 'in' when the focus is the physical interior.	module:01 sense:spatial type:contrast frequency:high register:neutral cefr:b1 image-schema:point generalisable:partial contrast:in-vs-at
Wait for me ___ the entrance.	at	on	at	The entrance is a point / threshold — that's the POINT schema. 'On the entrance' would put you on top of the doorway itself.	Doorways, corners, bus stops, gates = single points → 'at'.	module:01 sense:spatial type:contrast frequency:high register:neutral cefr:a1 image-schema:point generalisable:yes contrast:on-vs-at
The pharmacy is ___ the corner of Oak and Main.	at	on	on	A building sits at the intersection of two streets — that's the SUPPORT-LINE-ROUTE extension (the building is supported by the street block). 'At the corner' designates the point itself, not a building there.	'On the corner' = a building / structure there. 'At the corner' = the meeting point as a meeting place.	module:01 sense:spatial type:contrast frequency:mid register:neutral cefr:b1 image-schema:support generalisable:partial contrast:on-vs-at
There are toys ___ the corner of the bedroom.	in	on	in	An interior corner is the angle formed by two walls meeting — figures placed there are bounded by the walls (CONTAINER schema). 'On the corner' would mean a street corner.	Interior corner of a room → 'in'. Street corner outside → 'on' or 'at'.	module:01 sense:spatial type:contrast frequency:mid register:neutral cefr:a2 image-schema:container generalisable:partial contrast:in-vs-on
We had a great time ___ the wedding.	in	at	at	A wedding is an organised event seen as a single point in space-time (POINT-EVENT schema). 'In the wedding' would only work for participation in a specific role, not attendance.	Events / activities (weddings, meetings, parties, concerts) → 'at'.	module:01 sense:spatial type:contrast frequency:high register:neutral cefr:a2 image-schema:point generalisable:yes contrast:in-vs-at
The CEO is travelling ___ a private jet.	on	in	on	A private jet is a walk-in vehicle — passengers can stand and move around (SUPPORT-LARGE-TRANSPORT schema). 'In a jet' would sound like inside the engine.	Walk-in vehicles (planes, trains, buses, ships) → 'on'. Sit-in vehicles (cars, taxis) → 'in'.	module:01 sense:spatial type:contrast frequency:high register:neutral cefr:a2 image-schema:support generalisable:yes contrast:in-vs-on
The driver fell asleep ___ the taxi.	on	in	in	A taxi is a small private vehicle — you sit, you don't walk around (CONTAINER-SMALL-TRANSPORT). 'On the taxi' would mean ON the roof.	Cars and taxis are sit-in vehicles → 'in'. Buses and planes are walk-in → 'on'.	module:01 sense:spatial type:contrast frequency:high register:neutral cefr:a1 image-schema:container generalisable:yes contrast:in-vs-on
There's an interesting article ___ page 12.	in	on	on	A page is a flat surface — printed text rests on top (SUPPORT schema). 'In page 12' is incorrect; pages are surfaces, not containers.	Page numbers → 'on'. Chapters or sections → 'in'.	module:01 sense:spatial type:contrast frequency:high register:neutral cefr:a2 image-schema:support generalisable:yes contrast:in-vs-on
There's an interesting article ___ chapter 3.	on	in	in	A chapter is a bounded division of a text — articles within it are inside its boundaries (CONTAINER schema). 'On chapter 3' is incorrect.	Pages → 'on' (surface). Chapters / books / sections → 'in' (container).	module:01 sense:spatial type:contrast frequency:mid register:neutral cefr:a2 image-schema:container generalisable:yes contrast:in-vs-on
She's been ___ school since 8 a.m.	in	at	at	'At school' designates the school as a single institutional point where she is engaged in her role as student. 'In school' is also possible but more often refers to the physical building.	Institutional roles (school / university / work / home) → 'at'.	module:01 sense:spatial type:contrast frequency:high register:neutral cefr:a1 image-schema:point generalisable:yes contrast:in-vs-at
The ceremony takes place ___ March.	in	on	in	Whole months take 'in' (long bounded period). 'On March' is incorrect; 'on' takes specific dates including a day number.	Months / years / seasons / decades → 'in'. Specific dates / days → 'on'. Clock times → 'at'.	module:03 sense:temporal type:contrast frequency:high register:neutral cefr:a1 image-schema:none generalisable:yes contrast:in-on-at-time
The ceremony takes place ___ March 14th.	in	on	on	Specific dates including a day number take 'on'. 'In March 14th' is incorrect; 'in' is reserved for whole months without a day.	Add a day number → switch from 'in' to 'on'.	module:03 sense:temporal type:contrast frequency:high register:neutral cefr:a1 image-schema:none generalisable:yes contrast:in-on-at-time
The ceremony starts ___ 3 p.m.	on	at	at	Clock times take 'at' — the time is treated as a single point. 'On 3 p.m.' is incorrect.	Clock times = points = 'at'.	module:03 sense:temporal type:contrast frequency:high register:neutral cefr:a1 image-schema:none generalisable:yes contrast:in-on-at-time
She sleeps best ___ night.	in	at	at	'At night' is a fixed phrase (no article) treating night as a point in the daily cycle. The other parts of the day take 'in' (in the morning / afternoon / evening).	'At night' is the exception — every other part of the day takes 'in the …'.	module:03 sense:temporal type:contrast frequency:high register:neutral cefr:a2 image-schema:none generalisable:partial contrast:in-on-at-time
She sleeps best ___ the morning.	at	in	in	Morning / afternoon / evening all take 'in the …'. 'At the morning' is incorrect; 'at' is only used for 'at night' (no article) and clock times.	'At night' is exceptional — all other parts of the day take 'in the …'.	module:03 sense:temporal type:contrast frequency:high register:neutral cefr:a1 image-schema:none generalisable:yes contrast:in-on-at-time
The application must be submitted ___ Friday.	until	by	by	'By Friday' marks Friday as the deadline (no later than Friday). 'Until Friday' would mean continuous activity stopping on Friday — completely different.	'By' = deadline (a single point). 'Until' = continuous duration up to a stop point.	module:03 sense:temporal type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:yes contrast:by-vs-until
The pharmacy stays open ___ midnight.	by	until	until	'Until midnight' marks midnight as the endpoint of continuous activity. 'By midnight' would mean it closes at some point before midnight — wrong meaning for a continuously-open shop.	Continuous action with an endpoint → 'until'. Single deadline by which something must be done → 'by'.	module:03 sense:temporal type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:yes contrast:by-vs-until
We waited ___ the bus driver to arrive.	until	for	for	'For' here introduces the object of waiting (waiting for + person). 'Until' would need to be followed by a clause or time point ('until the bus driver arrived').	'Wait for + thing/person'. 'Wait until + clause/time point'.	module:03 sense:temporal type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:partial contrast:by-vs-until
She has lived in Paris ___ five years.	since	for	for	'For' takes a length of time (duration). 'Since' takes a starting point in time. Five years is a duration, so 'for'.	'For' + duration. 'Since' + start point.	module:03 sense:temporal type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:yes contrast:for-vs-since
She has lived in Paris ___ 2019.	for	since	since	'Since' takes a starting point (2019 is a point). 'For' takes a duration ('for five years'), not a year.	'Since' + a moment in time. 'For' + a length of time.	module:03 sense:temporal type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:yes contrast:for-vs-since
He hasn't called me ___ his birthday last month.	for	since	since	'Since his birthday last month' marks the starting point of an unfinished negative period. 'For his birthday' would specify a duration, which doesn't fit a calendar event.	With present perfect, 'since' identifies WHEN the period started; 'for' identifies HOW LONG it lasted.	module:03 sense:temporal type:contrast frequency:high register:neutral cefr:b1 image-schema:none generalisable:yes contrast:for-vs-since
